Xは | Yという -> ものを | 見た
Xかと -> 思うと | Yで -> やめて | 見えた
Xかと -> 思うと | Yから -> やめて | 見えた
Xかと -> 思うと | Yを -> やめて | 見えた
Xは | Y -> 毎日書斎で | かいている
Xを -> 見ると | Yを -> かいた -> ものやら | つかない
Xで | Yとかを -> やっている -> 人が | 来た
Xか | Yに -> しているのを | 聞いた
Xか | Yを -> しているのを | 聞いた
Xに | Yな -> 話を | しているのを
Xだが | Y -> とって -> 見ると | 感ずる
Xだが | Yを -> とって -> 見ると | 感ずる
Xに | Yの -> 顔を | 見ながら
Xは | Yに -> 見ながら | ものではない
Xは | Yを -> 見ながら | ものではない
Xは | Yから -> かけないさ | ものではない
Xは | Yには -> かけないさ | ものではない
Xは | Y -> 一幅の | 大活画なりと
Xも | Yらしい -> 画を | かこうと
Xには | Yな -> 笑が | 見えた
Xが | Yに -> なく | 出て来て
X | Yのごとく -> していたら | やっている
X | Yに -> していたら | やっている
X | Yを -> していたら | やっている
X | Yが -> 出て来て | やっている
X | Yから -> 出て来て | やっている
X | Yの -> 後ろで | やっている
Xは | Yのごとく -> していたら | やっている
Xは | Yに -> していたら | やっている
Xは | Yを -> していたら | やっている
Xは | Yが -> 出て来て | やっている
Xは | Yから -> 出て来て | やっている
Xは | Yの -> 後ろで | やっている
Xのごとく | Y -> 善く | していたら
Xに | Y -> 善く | していたら
Xは | Yも -> なく | 極め込んでいる
Xは | Yを -> 見て -> 失笑するのを | 禁じ得なかった
Xは | Yせられたる -> 結果として | 写生しつつあるのである
X | Yの -> 輪廓を | かき上げて
Xは | Y -> かき上げて | 彩っている
Xは | Yを -> かき上げて | 彩っている
Xは | Yの -> あたりを | 彩っている
Xと -> いい | Yの -> 猫に | 勝るとは
Xでも | Yな -> 姿とは | 思われない
Xでも | Yな -> 姿とは | 思われない
X | Yの -> 主人に | 描き出されつつあるような
Xは | Yの -> 皮膚を | 有している
Xに | Yの -> 皮膚を | 有している
Xは | Yが -> 見ても | 思う
Xを -> 見ると | Yを -> 交ぜた | 色でもない
X | Yな -> 事は | ない
Xだから | Yも -> ないが | 判然しないのである
Xは | Yに -> ないと | 思った
Xは | Yでも -> ないと | 思った
Xは | Yでは -> ないと | 思った
Xは | Yが -> ないと | 思った
X | Yなる -> 欠伸を | した
Xだから | Yを -> 足そうと -> 思って | 這い出した
Xは | Yを -> して | 怒鳴った
Xは | Yの -> 中から | 怒鳴った
Xは | Yを -> 罵る -> ときは | 馬鹿野郎というのが
Xだから | Yの -> 気も | 知らないで
Xが | Yの -> 気も | 知らないで
Xまで | Yの -> 気も | 知らないで
Xに | Yの -> 言いようを | 知らないのだから
Xも | Yに -> するなら | 受けるが
Xも | Yでも -> するなら | 受けるが
Xも | Yも -> 甘んじて | 受けるが
Xも -> 受けるが | Yは -> ないのに | 酷い
Xも -> 受けるが | Yも -> ないのに | 酷い
Xも -> 受けるが | Yに -> 立ったのを | 酷い
Xは -> ないのに | Yに -> 立ったのを | 酷い
Xも -> ないのに | Yに -> 立ったのを | 酷い
X | Yの -> 背中へ | 乗る
Xが | Yの -> 背中へ | 乗る
Xは | Yに -> 慢じて | 増長している
Xが -> 出て来て -> 窘めてやらなくては | Yまで -> 増長するか | 分らない
Xするが | Yの -> 不徳について | ある
Xは | Yの -> 不徳について | ある
Xに | Yばかりの -> 茶園が | ある
Xや | Yの -> よくない -> 折などは | 養うのが
Xで | Yの -> よくない -> 折などは | 養うのが
Xであったが | Yした -> 後 | 運ばした
Xであったが | Y -> 茶園へと | 運ばした
Xは | Yした -> 後 | 運ばした
Xは | Y -> 茶園へと | 運ばした
X | Y -> 茶園へと | 運ばした
X嗅ぎながら -> くると | Yを -> 押し倒して | 寝ている
Xまで -> くると | Yを -> 押し倒して | 寝ている
X嗅ぎながら | Yの -> そばまで | くると
Xは | Yも -> 無頓着なるごとく | 眠っている
Xは | Yを -> して | 眠っている
Xなるごとく | Yを -> して | 眠っている
Xかと | Yなる -> 度胸に | 驚かざるを得なかった
Xは | Yなる -> 度胸に | 驚かざるを得なかった
Xに | Yなる -> 度胸に | 驚かざるを得なかった
Xに | Yたる -> ものが | 睡られる
Xは | Yより -> 見えぬ -> 炎でも | 思われた
Xは | Yに -> 見えぬ -> 炎でも | 思われた
Xを | Yの -> 上に | かけて
Xは | Yなる -> 体格を | 有している
Xは | Yして -> 眺めていると | 落ちた
Xは | Yの -> 風が | 落ちた
Xは | Yを -> 誘って | 落ちた
Xは | Yの -> 葉が | 落ちた
Xは | Yの -> 茂みに | 落ちた
Xが | Yを -> 誘って | 落ちた
Xが | Yの -> 葉が | 落ちた
Xが | Yの -> 茂みに | 落ちた
Xが | Yの -> 茂みに | 落ちた
Xして | Yも -> なく | 眺めていると
Xと | Yに -> 忘れて | 佇立して
Xと | Yを -> 忘れて | 佇立して
Xと | Yの -> 前に | 佇立して
Xは | Yの -> 眼を | 開いた
Xは | Yという -> ものよりも | 輝いていた
Xは | Yに -> 美しく | 輝いていた
Xよりも | Yに -> 美しく | 輝いていた
Xを | Yの -> 上に | あつめて
Xに | Yべき -> 力が | 籠っているので
Xをも | Yべき -> 力が | 籠っているので
Xが -> 卑しいと -> 思ったが | Yに -> 籠っているので | 抱いた
Xが -> 卑しいと -> 思ったが | Yをも -> 籠っているので | 抱いた
Xが -> 卑しいと -> 思ったが | Yが -> 籠っているので | 抱いた
X | Yの -> 心臓は | おった
Xは | Yせる -> 調子で | 猫だ
Xは | Yの -> 家に | いるのだ
Xすると | Yの -> 猫とも | 思われない
Xは | Yは -> 誰だいと | 聞かざるを得なかった
Xは | Yで -> 知らぬ -> 者 | 乱暴猫である
Xは -> 起すと同時に | Yの -> 念も | 生じたのである
Xを -> 起すと同時に | Yの -> 念も | 生じたのである
Xは | Yを -> 聞いて | 起すと同時に
Xは | Yを -> して | 見た
Xが -> 強いに | Yって -> いら | あな
Xも | Yの -> 猫だけに | 大分強そうだ
Xに | Y -> なんざ | しねえつもりだ
Xに | Yへ -> 行ったって | しねえつもりだ
X | Yへ -> 行ったって | しねえつもりだ
Xえなんかも -> 廻っていねえで | Yへ -> くっ付いて来て | 見ねえ
Xばかり -> 廻っていねえで | Yへ -> くっ付いて来て | 見ねえ
Xは | Yに -> 住んでいるように | 思われる
X | Yなんか -> たって -> なる | もんか
X | Y -> たって -> なる | もんか
X | Yの -> 足しに -> なる | もんか
Xなんか -> たって | Yの -> 足しに | なる
X -> たって | Yの -> 足しに | なる
Xは | Yを -> し | 立ち去った
Xは | Yと -> 付かせて | 立ち去った
Xで | Yを -> し | 立ち去った
Xで | Yと -> 付かせて | 立ち去った
Xが | Yの -> 黒と | なったのは
Xに | Yの -> 気焔を | 吐く
Xは | Yの -> 気焔を | 吐く
Xは | Yで -> 寝転びながら | していると
Xのごとく | Yは -> していると | 質問した
Xのごとく | Yを -> していると | 質問した
Xのごとく | Yに -> 向って | 質問した
Xは | Yに -> 向って | 質問した
Xで | Yに -> 向って | 質問した
Xだが | Yとに -> 至っては | ならないと
Xだが | Yの -> 比較には | ならないと
Xえは | Yまでに -> とった -> 事が | ある
Xえは | Yを -> とった -> 事が | ある
Xえは | Y -> とった -> 事が | ある
Xは -> していた -> ものの | Yに -> 接したる -> 時は | 善くはなかった
Xは | Yる -> 訳には | 行かないから
Xは | Yと -> 思って -> 捕らないと | 答えた
Xは | Yを -> 震わせて | 笑った
Xは | Yに -> 足りない -> ところが | あって
Xは | Y -> 足りない -> ところが | あって
Xに | Yを -> 鳴らして | 謹聴していれば
Xは -> あって | Yの -> 気焔を | 感心したように
Xが -> あって | Yの -> 気焔を | 感心したように
Xにも | Yれを -> 弁護して | わるくするのも
Xに | Yの -> 手柄話を | しゃべらして
Xは | Yである -> 若くはないと | 定めた
Xである | Yを -> 濁すに | 若くはないと
Xなどは | Yが -> 年であるから | とったろうと
Xは | Yの -> 欠所に | 吶喊して来た
Xは -> とったろうとは | Yなる -> 彼の | 答であった
Xは | Yを -> つづけて | 合わねえ
Xは | Yは -> 引き受けるが | 合わねえ
Xは | Yで -> 引き受けるが | 合わねえ
Xは | Yでも -> 引き受けるが | 合わねえ
Xは | Yを -> ぱちつかせて | 云う
Xが | Yの -> 袋を | 持って
Xへ -> 這い込んだら | Yが -> 喰って | 飛び出したと
Xへ -> 這い込んだら | Y -> 喰って | 飛び出したと
Xが -> 持って | Yの -> 下へ | 這い込んだら
Xを -> 持って | Yの -> 下へ | 這い込んだら
Xってけども | Yの -> 大きい -> ぐれえの | ものだ
Xって -> 追っかけて | Yの -> 中へ | 追い込んだと
Xで -> 追っかけて | Yの -> 中へ | 追い込んだと
Xに -> 至って | Yの -> 臭気を | 感ずるごとく
Xって | Y -> からってえ | あ
Xって | Yを -> 見ると | あ
Xって | Yが -> 悪くなら | あ
Xは | Yを -> 見ると | あ
Xは | Yが -> 悪くなら | あ
Xは | Yを -> 感ずるごとく | なで廻わした
Xは | Yなお -> 感ずるごとく | なで廻わした
Xは | Yを -> 揚げて | なで廻わした
Xは | Yの -> 頭を | なで廻わした
Xも | Yな -> 感じが | する
Xと -> 思って | Yなら -> 睨まれては | 百年目だろう
Xと -> 思って | Yに -> 睨まれては | 百年目だろう
Xは | Yの -> 質問は | 呈出した
Xは | Yの -> 結果を | 呈出した
Xは | Yの -> 結果を | 呈出した
Xにも | Yの -> 結果を | 呈出した
Xは | Yとして -> 大息して | いう
Xを -> とったって | Yてえ -> ふてえ | いねえぜ
Xを -> とったって | Yほど -> ふてえ | いねえぜ
Xなんか | Yの -> 御蔭で | 儲けて
Xだぜさすが | Yの -> 黒も | わかると
Xで | Yの -> 毛を | 逆立てている
Xて | Yの -> 善い | 泥棒だぜさすが
Xは | Yに -> 胡魔化して | 帰った
Xは | Yを -> 胡魔化して | 帰った
Xから | Yは -> とるまいと | 決心した
Xから | Yを -> とるまいと | 決心した
Xに -> なって | Yの -> 御馳走を | あるく
Xに -> いると | Yな -> 性質に | なると
Xにおいて | Yの -> ない -> 事を | 悟った
Xと -> いえば | Yの -> 主人も | 至っては
Xも -> 至っては | Yと -> 見えて | かきつけた
Xも -> 至っては | Yの -> 日記に | かきつけた
Xに -> 至っては | Yと -> 見えて | かきつけた
Xに -> 至っては | Yの -> 日記に | かきつけた
Xと -> 見えて | Yの -> 日記に | かきつけた
Xに | Yの -> 会で | 始めて
Xは | Yらしい -> 風采を | している
Xは | Yを -> するべく -> せられたと -> 云うのが | 適当であろう
Xは | Yだ -> そうだ | 事である
Xは | Yの -> ない -> ものが | 多い
Xにも | Yの -> ない -> ものが | 多い
Xも | Yの -> 水彩画家に | なり得る
Xに | Yなる -> 通人よりも | 上等だ
Xに | Yの -> 方が | 上等だ
Xよりも | Yの -> 方が | 上等だ
Xは | Yに -> すべからざる -> 愚劣の | 考であるが
Xとしては | Yに -> すべからざる -> 愚劣の | 考であるが
Xであるが | Yにおける -> 批評眼だけは | ものだ
Xは | Yのごとく -> にも関せず | 抜けない
Xは | Yの -> にも関せず | 抜けない
X -> 置いて | Yの -> 日記に | 書いている
Xは | Yが -> かいて | ならんと
Xは | Yを -> かいて | ならんと
Xを | Yな -> 額に | して
Xが | Yな -> 額に | して
Xは -> ならんと -> 思って | Yに -> 懸けてくれた -> 夢を | 見た
Xに -> ならんと -> 思って | Yに -> 懸けてくれた -> 夢を | 見た
Xなら | Yな -> ものだと | 眺め暮らしていると
Xが -> 覚めて | Yの -> 通り | 下手である
Xが -> 覚めて | Yの -> 通り | 下手である
X暮らしていると | Yである -> 事が | 明瞭になってしまった
Xは | Yの -> 裡まで | 背負ってあるいていると
Xは | Yの -> 未練を | 背負ってあるいていると
Xまで | Yの -> 未練を | 背負ってあるいていると
Xでは | Yにも -> なれない | 質だ
Xは | Yにも -> なれない | 質だ
Xは | Yに -> つくと | 切った
Xは | Yは -> どうかねと | 切った
Xに | Yは -> どうかねと | 切った
Xは | Yを -> して | 分るようだ
Xは | Yに従って -> 力めているが | 分るようだ
Xは | Yを -> 力めているが | 分るようだ
Xは | Yを -> すると | 分るようだ
Xは | Yや -> 変化などが | 分るようだ
Xは | Yの -> 変化などが | 分るようだ
Xは | Yな -> 変化などが | 分るようだ
Xだと | Yの -> 事は | 出さないでまた
Xは | Y -> 出鱈目だよと | 掻く
Xは | Yは -> 出鱈目だよと | 掻く
Xがって | Yの -> 感服している | アンドレア・デル・サルトさ
Xは | Yの -> 捏造した | 話だ
Xは | Yで -> 聞いて | 想像せざるを得なかった
Xは | Yを -> 聞いて | 想像せざるを得なかった
Xは | Yには -> 記さるるであろうかと | 想像せざるを得なかった
Xは | Yが -> 記さるるであろうかと | 想像せざるを得なかった
Xは | Yを -> 楽にしている | 男である
Xは | Yの -> 楽にしている | 男である
Xが | Yの -> 情線に | 伝えたかを
Xは | Yせざるもののごとく -> なって | 饒舌った
Xは | Yに -> なって | 饒舌った
Xは | Yな -> 事を | 饒舌った
Xがまた | Yの -> 善い | 男で
Xして | Yの -> 一世の | 大著述なる
Xで | Yの -> 演説会で | 繰り返したのは
Xさせたと -> 言ったら | Yで -> 繰り返したのは | 滑稽であった
Xさせたと -> 言ったら | Yで -> 繰り返したのは | 滑稽であった
Xさせたと -> 言ったら | Yを -> 繰り返したのは | 滑稽であった
Xばかりであったが | Y -> 傾聴して | おった
Xばかりであったが | Yに -> 傾聴して | おった
Xばかりであったが | Yを -> 傾聴して | おった
Xだって | Yの -> 話しが | 出たから
Xで | Yの -> 話しが | 出たから
Xは | Yの -> 中で | 白眉である
Xは | Yの -> 中で | 白眉である
Xが | Yは -> 名文だと | いった
Xは | Yも -> 読んでおらないという -> 事を | 知った
Xは | Y -> 読んでおらないという -> 事を | 知った
Xは | Yを -> 読んでおらないという -> 事を | 知った
Xは | Yを -> 丸くして | 問いかけた
Xは -> ない | Yが -> あらわれた -> 時は | 困るじゃないかと
X -> ない | Yが -> あらわれた -> 時は | 困るじゃないかと
X | Yと -> 間違えたとか | 云うばかりさと
X | Yと -> 間違えたとか | 云うばかりさと
Xは | Yの -> 眼鏡は | 掛けているが
Xは -> 掛けているが | Yが -> 似た -> ところが | ある
Xは -> 掛けているが | Yに -> 似た -> ところが | ある
Xは -> 掛けているが | Yが -> 似た -> ところが | ある
Xは -> 掛けているが | Yに -> 似た -> ところが | ある
Xが | Yの -> 黒に | 似た
Xは | Yには -> ないと -> 云わんばかりの -> 顔を | している
Xは | Yは -> ないと -> 云わんばかりの -> 顔を | している
Xは | Yだという -> 目付で | あるそうだ
Xは | Yは -> 冗談だが | あるそうだ
Xは | Yは -> ものだよ | あるそうだ
Xで | Yは -> 冗談だが | あるそうだ
Xで | Yは -> ものだよ | あるそうだ
Xだが | Yは -> ものだよ | あるそうだ
Xだから | Yを -> かいても | 駄目だという
Xに | Yの -> しみを | 写せと
Xを | Y -> なく | 眺めていると
Xは | Yが -> 褪めて | 抜けて来る
Xは | Yと -> 悪くなった | 事である
Xは | Yの -> 悪くなった | 事である
Xが | Yの -> 茶園で | 逢った
X | Yには -> 懲だと | いった
Xは | Yの -> 山茶花も | 尽した
Xは | Y -> なく | 尽した
Xも | Y -> なく | 尽した
Xに | Yの -> 紅を | 綴った
Xは | Yな -> 気が | する
Xに | Yの -> 日脚が | 傾いて
Xになってから | Yの -> 時間も | 狭められたような
Xが -> 来ると | Yが -> 厭だ | 厭だと
Xも | Yが -> ないと -> いって | やめてしまった
Xは | Yに -> 休まないで | かよう
Xは -> 食わないから -> 肥りもしないが | Yで -> ならずに | 暮している
Xは -> 食わないから -> 肥りもしないが | Yにも -> ならずに | 暮している
Xも -> 食わないから -> 肥りもしないが | Yで -> ならずに | 暮している
Xも -> 食わないから -> 肥りもしないが | Yにも -> ならずに | 暮している
X | Yの -> 猫で | 終るつもりだ
Xになったので | Yながら -> 感ぜらるるのは | ありがたい
Xになったので | Yが -> 感ぜらるるのは | ありがたい
X | Yの -> 許へ | 来た
X | Yの -> 絵端書が | 来た
Xへ | Yの -> 絵端書が | 来た
Xに | Yの -> 動物が | 踞っている
Xを | Y -> 下部を | 塗って
Xであるが | Yに -> 踞っている -> ところを | 書いてある
Xであるが | Yが -> 踞っている -> ところを | 書いてある
Xであるが | Y -> 踞っている -> ところを | 書いてある
Xは | Yの -> 交友某画家からの | 年始状であるが
Xで | Yから -> 見たり | 眺めたりして
Xを | Yから -> 見たり | 眺めたりして
Xは | Yで -> 眺めたりして | いう
Xは | Yを -> 眺めたりして | いう
Xは | Yから -> 眺めたりして | いう
Xだから | Yから -> 見たり | 見たりしている
Xへ -> むいて | Yの -> 先まで | 持って来たりして
Xにしたり | Yまで -> 持って来たりして | 見ている
Xを -> 拗じ向けたり | Yを -> 延ばして | 見るようにしたり
Xしくなくなったと -> 思ったら | Yで -> かいたのだろうと | 云う
Xしくなくなったと -> 思ったら | Yを -> かいたのだろうと | 云う
Xしたが | Yが -> 分らぬので | 見える
Xは | Yの -> 色には | 感服したが
Xかと -> 思いながら | Yを -> 開いて | 肖像だ
Xかと -> 思いながら | Yに -> 開いて | 肖像だ
Xかと -> 思いながら | Y -> 開いて | 肖像だ
Xかと -> 思いながら | Yも -> ない | 肖像だ
Xを -> 開いて | Yも -> ない | 肖像だ
Xに -> 開いて | Yも -> ない | 肖像だ
X -> 開いて | Yも -> ない | 肖像だ
Xでもあるまいが | Yだけに -> 整って | 出来ている
Xでもあるまいが | Yも -> 整って | 出来ている
Xだけに | Yも -> 色彩も | 整って
Xなら | Yが -> わかるように | 描いてある
Xなら | Yと -> わかるように | 描いてある
Xなら | Yが -> 云う -> 事を | 知らしてやりたい
Xなら | Yであると -> 云う -> 事を | 知らしてやりたい
Xは -> 分らないにしても | Yであるという -> 事だけは | 分らしてやりたい
Xは | Yに -> 浴して | おらん動物であるから
Xを -> 解し得る -> くらいに | Yの -> 恵に | 浴して
Xと | Yを -> 評価する | 癖が
Xに -> 断っておきたいが | Yが -> あるは | よくない
Xに | Yの -> 口調を | もって
Xから | Yと -> 馬が | 出来て
Xから -> 出来て | Yから -> 製造されたごとく | 考えるのは
Xから -> 出来て | Yが -> 製造されたごとく | 考えるのは
Xが -> 出来て | Yから -> 製造されたごとく | 考えるのは
Xが -> 出来て | Yが -> 製造されたごとく | 考えるのは
Xでもあろうが | Yから -> 見て -> 見っとも | 者じゃない
Xに -> 心付かんで | Yな -> 顔を | する
Xは | Yを -> する -> 教師などには | 事でもあろうが
Xであるが | Yな -> もので | 出来るのである
Xであるが | Yの -> 語は | 出来るのである
Xで | Yの -> 語は | 出来るのである
Xには | Y -> 猫も | 特色などはないようであるが
Xから | Y -> 垂れ加減に | 至るまで
Xから | Yの -> 垂れ加減に | 至るまで
Xは | Yする -> 事すら | 出来ぬのは
Xしているにもかかわらず | Yの -> 眼は | ものだから
Xしているにもかかわらず | Yばかり -> 見ている | ものだから
Xは | Yばかり -> 見ている | ものだから
Xだから | Yは -> 出来ぬのは | 気の毒だ
Xだから | Yすら -> 出来ぬのは | 気の毒だ
Xに | Yたる -> 区別が | 存しているにもかかわらず
Xは | Yだ -> そうだが | 分らぬ
Xは | Y -> 猫で | 分らぬ
Xは | Yは -> 猫で | 分らぬ
Xは | Yの -> 事なら | 分らぬ
